record_id,run_id,prev_cs,prev_mc,prev_hdh,round_idx,rounds_remaining,val_f1,total_round_time,train_mean,train_max,comm_mean,comm_max,f1_over_time,comm_frac,y_cs_applied
r1_d2,fashionmnist__cnn16k/few-shot deepseek/r1,OFF,OFF,OFF,2.0,8.0,0.7125,95.89,32.358,63.96,33.45,60.12,0.007430388987381375,0.3488372093023256,OFF
r1_d3,fashionmnist__cnn16k/few-shot deepseek/r1,OFF,OFF,OFF,3.0,7.0,0.7804,112.07,50.378,80.66,28.618000000000002,47.7,0.006963504952261979,0.2553582582314625,OFF
r1_d4,fashionmnist__cnn16k/few-shot deepseek/r1,OFF,OFF,OFF,4.0,6.0,0.7829,130.71,70.252,100.09,22.997999999999998,37.87,0.005989595287277178,0.17594675235253612,OFF
r1_d5,fashionmnist__cnn16k/few-shot deepseek/r1,OFF,OFF,OFF,5.0,5.0,0.7956,146.9,84.968,116.36,32.086,64.89,0.005415929203539823,0.21842069434989786,OFF
r1_d6,fashionmnist__cnn16k/few-shot deepseek/r1,OFF,OFF,OFF,6.0,4.0,0.8111,172.67,110.63200000000002,142.46,35.154,66.33,0.0046973996640991495,0.20359066427289052,OFF
r1_d7,fashionmnist__cnn16k/few-shot deepseek/r1,OFF,ON,OFF,7.0,3.0,0.8092,183.41,121.232,155.67,38.068,62.77,0.0044119731748541524,0.20755683986696472,OFF
r1_d8,fashionmnist__cnn16k/few-shot deepseek/r1,OFF,OFF,OFF,8.0,2.0,0.8197,220.74,146.35399999999998,174.21,38.032,66.04,0.003713418501404367,0.17229319561475037,OFF
r1_d9,fashionmnist__cnn16k/few-shot deepseek/r1,OFF,ON,OFF,9.0,1.0,0.8313,233.5,162.15,180.75,46.26,74.57,0.0035601713062098504,0.1981156316916488,OFF
r2_d2,fashionmnist__cnn16k/few-shot deepseek/r2,OFF,OFF,OFF,2.0,8.0,0.7259,96.31,30.918,63.54,21.940000000000005,42.6,0.007537119717578652,0.22780604298619048,OFF
r2_d3,fashionmnist__cnn16k/few-shot deepseek/r2,OFF,OFF,OFF,3.0,7.0,0.7392,116.09,51.63199999999999,84.69,32.88,58.95,0.0063674735119303985,0.28322852958911193,OFF
r2_d4,fashionmnist__cnn16k/few-shot deepseek/r2,OFF,OFF,OFF,4.0,6.0,0.8079,134.94,69.42,103.59,35.622,68.42,0.0059871053801689635,0.263983992885727,OFF
r2_d5,fashionmnist__cnn16k/few-shot deepseek/r2,OFF,OFF,OFF,5.0,5.0,0.7916,155.81,88.706,122.33,40.14,71.26,0.005080546819844683,0.25762146203709646,OFF
r2_d6,fashionmnist__cnn16k/few-shot deepseek/r2,OFF,OFF,OFF,6.0,4.0,0.8052,171.54,108.93999999999998,141.53,36.236000000000004,74.95,0.004693948933193424,0.21123936108196342,OFF
r2_d7,fashionmnist__cnn16k/few-shot deepseek/r2,OFF,OFF,OFF,7.0,3.0,0.8144,190.31,128.578,160.66,34.804,49.07,0.004279333718669539,0.18288056329147181,OFF
r2_d8,fashionmnist__cnn16k/few-shot deepseek/r2,OFF,OFF,OFF,8.0,2.0,0.822,200.44,143.328,167.64,37.007999999999996,63.43,0.004100977848732788,0.18463380562761922,OFF
r2_d9,fashionmnist__cnn16k/few-shot deepseek/r2,OFF,OFF,OFF,9.0,1.0,0.7998,217.39,163.632,182.93,36.748,46.0,0.003679102074612448,0.1690418142508855,OFF
r3_d2,fashionmnist__cnn16k/few-shot deepseek/r3,OFF,OFF,OFF,2.0,8.0,0.6636,91.07,30.157999999999998,59.77,24.145999999999997,48.15,0.007286702536510377,0.26513670802679257,OFF
r3_d3,fashionmnist__cnn16k/few-shot deepseek/r3,OFF,OFF,ON,3.0,7.0,0.7582,109.46,49.416000000000004,79.12,35.800000000000004,68.12,0.006926731226018637,0.32706011328339124,OFF
r3_d4,fashionmnist__cnn16k/few-shot deepseek/r3,OFF,OFF,OFF,4.0,6.0,0.7844,421.48,94.85,269.76,32.576,67.41,0.0018610610230615924,0.07728955110562778,OFF
r3_d5,fashionmnist__cnn16k/few-shot deepseek/r3,OFF,OFF,ON,5.0,5.0,0.8033,159.37,91.296,125.48,37.989999999999995,79.04,0.005040471857940642,0.23837610591704833,OFF
r3_d6,fashionmnist__cnn16k/few-shot deepseek/r3,OFF,OFF,OFF,6.0,4.0,0.8118,176.27,108.46399999999998,140.3,36.356,73.81,0.0046054348442729895,0.2062517728484711,OFF
r3_d7,fashionmnist__cnn16k/few-shot deepseek/r3,OFF,OFF,OFF,7.0,3.0,0.8389,190.45,127.144,158.58,36.61,67.02,0.00440483066421633,0.19222893147807824,OFF
r3_d8,fashionmnist__cnn16k/few-shot deepseek/r3,OFF,OFF,OFF,8.0,2.0,0.821,220.15,140.36,165.3,43.99,80.07,0.003729275493981376,0.19981830570065864,OFF
r3_d9,fashionmnist__cnn16k/few-shot deepseek/r3,OFF,OFF,OFF,9.0,1.0,0.8133,256.76,160.41400000000002,182.73,56.022000000000006,94.24,0.003167549462533105,0.21818819130705722,OFF
r4_d2,fashionmnist__cnn16k/few-shot deepseek/r4,OFF,OFF,OFF,2.0,8.0,0.7373,95.26,29.692,61.84,25.21,41.45,0.007739869829939113,0.26464413184967456,OFF
r4_d3,fashionmnist__cnn16k/few-shot deepseek/r4,OFF,OFF,OFF,3.0,7.0,0.7824,112.29,48.784000000000006,80.79,26.734,54.01,0.00696767298958055,0.23807997150235996,OFF
r4_d4,fashionmnist__cnn16k/few-shot deepseek/r4,OFF,OFF,OFF,4.0,6.0,0.7999,128.59,67.424,97.66,25.502000000000002,47.54,0.006220545921144724,0.1983202426316199,OFF
r4_d5,fashionmnist__cnn16k/few-shot deepseek/r4,OFF,OFF,OFF,5.0,5.0,0.7981,145.72,83.398,116.48,37.11,68.79,0.005476942080702718,0.25466648366730715,OFF
r4_d6,fashionmnist__cnn16k/few-shot deepseek/r4,OFF,OFF,OFF,6.0,4.0,0.8042,164.45,103.346,134.03,36.89,57.94,0.004890240194588022,0.22432350258437217,OFF
r4_d7,fashionmnist__cnn16k/few-shot deepseek/r4,OFF,OFF,OFF,7.0,3.0,0.8171,192.66,127.444,158.59,41.30799999999999,84.05,0.004241150212810132,0.21440880307277066,OFF
r4_d8,fashionmnist__cnn16k/few-shot deepseek/r4,OFF,OFF,OFF,8.0,2.0,0.8123,212.84,138.714,168.85,38.970000000000006,66.16,0.00381648186431122,0.18309528284157117,OFF
r4_d9,fashionmnist__cnn16k/few-shot deepseek/r4,OFF,OFF,OFF,9.0,1.0,0.8553,238.82,159.914,179.53,50.902,86.75,0.0035813583451972195,0.2131396030483209,OFF
r5_d2,fashionmnist__cnn16k/few-shot deepseek/r5,OFF,OFF,OFF,2.0,8.0,0.7198,98.81,33.510000000000005,66.58,24.744,49.5,0.007284687784637182,0.25041999797591336,OFF
r5_d3,fashionmnist__cnn16k/few-shot deepseek/r5,OFF,OFF,OFF,3.0,7.0,0.7735,116.86,50.2,80.01,31.394,64.65,0.00661903131952764,0.2686462433681328,OFF
r5_d4,fashionmnist__cnn16k/few-shot deepseek/r5,OFF,OFF,OFF,4.0,6.0,0.7956,135.38,73.52,104.69,31.512,52.54,0.005876791254247304,0.23276702614861872,OFF
r5_d5,fashionmnist__cnn16k/few-shot deepseek/r5,OFF,OFF,OFF,5.0,5.0,0.8042,154.44,89.294,119.21,36.112,71.12,0.005207200207200207,0.23382543382543383,OFF
r5_d6,fashionmnist__cnn16k/few-shot deepseek/r5,OFF,OFF,OFF,6.0,4.0,0.8108,178.06,109.67,143.79,39.3,74.23,0.004553521284960125,0.22071211951027742,OFF
r5_d7,fashionmnist__cnn16k/few-shot deepseek/r5,OFF,OFF,ON,7.0,3.0,0.8043,207.3,134.642,167.34,41.066,87.11,0.003879884225759768,0.19809937288953208,OFF
r5_d8,fashionmnist__cnn16k/few-shot deepseek/r5,OFF,ON,OFF,8.0,2.0,0.815,593.97,151.198,287.62,39.46,73.26,0.0013721231712039328,0.06643433170025421,OFF
r5_d9,fashionmnist__cnn16k/few-shot deepseek/r5,OFF,OFF,ON,9.0,1.0,0.8172,259.3,170.834,185.23,44.61,81.01,0.0031515618974161204,0.17204010798303124,OFF
r6_d2,fashionmnist__cnn16k/few-shot deepseek/r6,OFF,OFF,OFF,2.0,8.0,0.7191,93.18,33.658,62.9,31.942,59.1,0.0077173213135866055,0.34279888388066104,ON
r6_d3,fashionmnist__cnn16k/few-shot deepseek/r6,ON,OFF,ON,3.0,7.0,0.7464,106.32,50.116,79.15,30.170000000000005,57.53,0.007020316027088036,0.2837659894657638,OFF
r6_d4,fashionmnist__cnn16k/few-shot deepseek/r6,OFF,OFF,OFF,4.0,6.0,0.7228,369.35,51.21333333333333,81.89,21.540000000000003,54.22,0.001956951401110058,0.05831866793014756,OFF
r6_d5,fashionmnist__cnn16k/few-shot deepseek/r6,OFF,OFF,OFF,5.0,5.0,0.8009,145.9,81.988,115.44,28.318,49.29,0.005489376285126799,0.1940918437285812,OFF
r6_d6,fashionmnist__cnn16k/few-shot deepseek/r6,OFF,OFF,OFF,6.0,4.0,0.7778,167.09,105.066,137.25,39.611999999999995,67.94,0.004654976360045485,0.2370698425997965,OFF
r6_d7,fashionmnist__cnn16k/few-shot deepseek/r6,OFF,OFF,OFF,7.0,3.0,0.8187,175.32,121.112,149.13,34.432,49.9,0.00466974674880219,0.19639516313027608,OFF
r6_d8,fashionmnist__cnn16k/few-shot deepseek/r6,OFF,OFF,OFF,8.0,2.0,0.8166,208.38,147.18,177.61,42.064,81.23,0.003918802188309819,0.20186198291582685,OFF
r6_d9,fashionmnist__cnn16k/few-shot deepseek/r6,OFF,OFF,OFF,9.0,1.0,0.8404,257.09,174.46999999999997,195.2,45.66,78.14,0.003268894161577658,0.17760317398576375,OFF
r7_d2,fashionmnist__cnn16k/few-shot deepseek/r7,OFF,OFF,OFF,2.0,8.0,0.6531,91.97,28.502,59.77,26.872000000000003,56.82,0.007101228661520061,0.29218223333695775,OFF
r7_d3,fashionmnist__cnn16k/few-shot deepseek/r7,OFF,OFF,OFF,3.0,7.0,0.7372,115.77,50.928,84.75,32.208,60.9,0.00636779822060983,0.278206789323659,OFF
r7_d4,fashionmnist__cnn16k/few-shot deepseek/r7,OFF,OFF,OFF,4.0,6.0,0.8024,131.86,68.39000000000001,100.93,24.284,39.3,0.006085241923251933,0.1841650235097831,OFF
r7_d5,fashionmnist__cnn16k/few-shot deepseek/r7,OFF,OFF,OFF,5.0,5.0,0.8175,145.71,88.10999999999999,119.35,32.622,71.9,0.005610459131150916,0.22388305538398187,OFF
r7_d6,fashionmnist__cnn16k/few-shot deepseek/r7,OFF,OFF,OFF,6.0,4.0,0.7956,164.13,105.84400000000001,135.27,29.744,43.91,0.004847377079144581,0.18122220191311766,OFF
r7_d7,fashionmnist__cnn16k/few-shot deepseek/r7,OFF,OFF,OFF,7.0,3.0,0.8137,178.41,126.13,154.03,30.01,51.26,0.004560843002073875,0.16820806008631806,OFF
r7_d8,fashionmnist__cnn16k/few-shot deepseek/r7,OFF,OFF,OFF,8.0,2.0,0.8314,226.68,141.22,166.48,46.868,76.6,0.003667725427916005,0.20675842597494265,ON
r7_d9,fashionmnist__cnn16k/few-shot deepseek/r7,ON,ON,OFF,9.0,1.0,0.8283,231.16,156.724,171.7,42.606,79.98,0.0035832323931476034,0.18431389513756707,OFF
r8_d2,fashionmnist__cnn16k/few-shot deepseek/r8,OFF,OFF,OFF,2.0,8.0,0.7357,92.95,30.742,61.15,24.951999999999998,42.37,0.007915008068854222,0.26844540075309303,OFF
